Players,Sentiment Score,Score_with_stats,ast_per_game,stl_per_game,tov_per_game
jordan poole,0.9423,6.015,4.5,1.3,3.1
jose alvarado,0.0,3.583,4.6,1.4,1.3
josh green,0.9459,2.937,1.6,1.1,1.0
josh hart,0.7351,5.736,5.8,1.5,2.0
josh okogie,-0.3071,2.409,0.8,1.3,0.8
josh okogie,-0.3071,2.409,0.6,0.8,0.6
josh okogie,-0.3071,2.409,1.3,2.4,1.1
josh okogie,-0.3071,2.171,0.8,1.3,0.8
josh okogie,-0.3071,2.171,0.6,0.8,0.6
josh okogie,-0.3071,2.171,1.3,2.4,1.1
josh okogie,-0.3071,3.096,0.8,1.3,0.8
josh okogie,-0.3071,3.096,0.6,0.8,0.6
josh okogie,-0.3071,3.096,1.3,2.4,1.1
josh richardson,-0.3838,1.759,1.5,1.0,1.0
jrue holiday,0.8854,4.244,3.9,1.1,1.3
julian strawther,-0.5109,3.075,1.3,0.6,0.9
julius randle,0.5859,6.12,4.7,0.7,2.8
kj martin,0.8805,2.444,1.1,0.4,0.5
kj martin,0.8805,2.444,0.8,0.5,0.5
kj martin,0.8805,2.444,1.5,0.3,0.6
kj martin,0.8805,2.458,1.1,0.4,0.5
kj martin,0.8805,2.458,0.8,0.5,0.5
kj martin,0.8805,2.458,1.5,0.3,0.6
kj martin,0.8805,2.422,1.1,0.4,0.5
kj martin,0.8805,2.422,0.8,0.5,0.5
kj martin,0.8805,2.422,1.5,0.3,0.6
kai jones,0.0,1.745,0.6,0.3,0.4
kai jones,0.0,1.745,1.4,0.8,0.5
kai jones,0.0,4.423,0.6,0.3,0.4
kai jones,0.0,4.423,1.4,0.8,0.5
karl-anthony towns,0.7442,7.908,3.1,1.0,2.6
kawhi leonard,0.9721,6.379,3.0,1.5,2.0
keegan murray,0.25,4.693,1.4,0.8,0.8
keldon johnson,0.9821,4.191,1.6,0.7,0.9
kelly olynyk,0.83,3.228,2.9,0.8,1.8
kelly olynyk,0.83,3.228,2.3,0.7,1.5
kelly olynyk,0.83,3.228,3.8,0.9,2.2
kelly olynyk,0.83,2.624,2.9,0.8,1.8
kelly olynyk,0.83,2.624,2.3,0.7,1.5
kelly olynyk,0.83,2.624,3.8,0.9,2.2
kelly olynyk,0.83,4.076,2.9,0.8,1.8
kelly olynyk,0.83,4.076,2.3,0.7,1.5
kelly olynyk,0.83,4.076,3.8,0.9,2.2
kenrich williams,-0.2263,2.32,1.4,0.6,0.5
kentavious caldwell-pope,0.9186,3.274,1.7,1.3,0.8
kessler edwards,0.0,1.859,1.1,0.5,0.4
kevin durant,0.9041,7.904,4.2,0.8,3.1
kevin huerter,0.928,3.372,2.2,1.0,1.0
kevin huerter,0.928,3.372,1.7,0.8,0.9
kevin huerter,0.928,3.372,3.1,1.3,1.3
kevin huerter,0.928,2.857,2.2,1.0,1.0
kevin huerter,0.928,2.857,1.7,0.8,0.9
kevin huerter,0.928,2.857,3.1,1.3,1.3
kevin huerter,0.928,4.439,2.2,1.0,1.0
kevin huerter,0.928,4.439,1.7,0.8,0.9
kevin huerter,0.928,4.439,3.1,1.3,1.3
kevin love,0.9246,2.049,1.0,0.7,0.6
kevon looney,-0.9313,2.322,1.6,0.6,0.5
khris middleton,0.9616,4.073,4.1,0.9,1.5
khris middleton,0.9616,4.073,4.4,0.7,1.6
khris middleton,0.9616,4.073,3.4,1.3,1.4
khris middleton,0.9616,4.249,4.1,0.9,1.5
khris middleton,0.9616,4.249,4.4,0.7,1.6
khris middleton,0.9616,4.249,3.4,1.3,1.4
khris middleton,0.9616,3.746,4.1,0.9,1.5
khris middleton,0.9616,3.746,4.4,0.7,1.6
khris middleton,0.9616,3.746,3.4,1.3,1.4
killian hayes,0.9476,3.603,5.2,0.7,1.5
klay thompson,0.1761,4.547,2.1,0.7,1.3
kobe bufkin,0.8999,1.913,1.7,0.3,0.8
kris dunn,-0.9559,2.846,2.9,1.7,1.0
kris murray,0.3025,1.631,0.8,0.5,0.5
kyle anderson,0.9325,2.254,2.3,0.6,0.6
kyle anderson,0.9325,2.254,2.3,0.7,0.6
kyle anderson,0.9325,2.254,2.3,0.5,0.7
kyle anderson,0.9325,2.248,2.3,0.6,0.6
kyle anderson,0.9325,2.248,2.3,0.7,0.6
kyle anderson,0.9325,2.248,2.3,0.5,0.7
kyle anderson,0.9325,2.326,2.3,0.6,0.6
kyle anderson,0.9325,2.326,2.3,0.7,0.6
kyle anderson,0.9325,2.326,2.3,0.5,0.7
kyle kuzma,0.9217,4.954,2.4,0.5,2.2
kyle kuzma,0.9217,4.954,2.5,0.6,2.3
kyle kuzma,0.9217,4.954,2.2,0.4,2.2
kyle kuzma,0.9217,4.936,2.4,0.5,2.2
kyle kuzma,0.9217,4.936,2.5,0.6,2.3
kyle kuzma,0.9217,4.936,2.2,0.4,2.2
kyle kuzma,0.9217,4.977,2.4,0.5,2.2
kyle kuzma,0.9217,4.977,2.5,0.6,2.3
kyle kuzma,0.9217,4.977,2.2,0.4,2.2
kyle lowry,0.9578,1.97,2.8,0.9,0.6
kyrie irving,0.7351,7.432,4.6,1.3,2.2
lamelo ball,0.9692,7.536,7.4,1.1,3.6
landry shamet,0.4939,1.605,0.5,0.5,0.4
larry nance jr.,0.8316,3.124,1.6,0.8,0.7
lauri markkanen,0.8779,5.813,1.5,0.7,1.4
lebron james,0.988,7.972,8.4,1.0,3.8
lonzo ball,0.9299,3.062,3.3,1.3,1.2
luguentz dort,0.5719,3.731,1.6,1.1,0.7
luke kennard,0.4927,3.35,3.4,0.8,1.2
luke kornet,0.4927,2.565,1.6,0.5,0.4
malachi flynn,0.1513,1.581,1.8,0.8,1.0
malcolm brogdon,0.5096,4.229,4.1,0.5,1.6
malik beasley,0.3818,4.851,1.7,0.9,1.1
malik monk,0.8832,5.767,5.8,1.0,2.5
marcus sasser,0.8558,2.156,2.2,0.6,0.9
marcus smart,0.9275,3.096,3.3,1.2,1.6
marcus smart,0.9275,3.096,3.7,1.2,1.8
marcus smart,0.9275,3.096,2.7,1.1,1.3
marcus smart,0.9275,3.131,3.3,1.2,1.6
marcus smart,0.9275,3.131,3.7,1.2,1.8
marcus smart,0.9275,3.131,2.7,1.1,1.3
marcus smart,0.9275,3.029,3.3,1.2,1.6
marcus smart,0.9275,3.029,3.7,1.2,1.8
marcus smart,0.9275,3.029,2.7,1.1,1.3
mark williams,0.8689,5.517,2.6,0.7,1.4
markieff morris,0.8122,1.738,1.6,0.0,0.1
mason plumlee,0.836,2.337,1.8,0.4,0.8
matisse thybulle,-0.3206,2.409,1.3,2.0,0.6
max strus,0.3195,3.542,3.1,0.6,1.0
maxi kleber,0.6121,1.648,1.3,0.3,0.7
maxwell lewis,0.546,1.724,0.7,0.4,0.4
mikal bridges,0.4939,5.836,3.7,1.0,1.6
mike conley,0.6003,3.347,4.4,1.2,1.1
miles bridges,-0.3818,6.636,4.0,0.7,2.1
mitchell robinson,0.3182,2.211,0.7,0.8,0.6
mo bamba,0.0702,1.908,0.6,0.3,0.6
mo bamba,0.0702,1.908,0.6,0.3,0.7
mo bamba,0.0702,1.908,0.5,0.0,0.3
mo bamba,0.0702,1.94,0.6,0.3,0.6
mo bamba,0.0702,1.94,0.6,0.3,0.7
mo bamba,0.0702,1.94,0.5,0.0,0.3
mo bamba,0.0702,1.722,0.6,0.3,0.6
mo bamba,0.0702,1.722,0.6,0.3,0.7
mo bamba,0.0702,1.722,0.5,0.0,0.3
monte morris,0.967,1.854,1.6,0.5,0.4
moritz wagner,-0.4588,4.03,1.4,0.8,1.6
moses brown,-0.56,4.057,0.5,1.0,1.3
moses moody,0.0,3.289,1.3,0.7,0.7
mouhamed gueye,0.7612,2.321,0.8,0.8,0.4
myles turner,0.7351,5.183,1.6,0.8,1.7
naji marshall,0.8151,4.553,2.9,1.1,1.6
naz reid,-0.1531,4.872,2.3,0.8,1.3
nick richards,-0.5267,3.646,0.9,0.2,1.5
nick richards,-0.5267,3.646,1.3,0.3,1.6
nick richards,-0.5267,3.646,0.6,0.2,1.4
nick richards,-0.5267,3.445,0.9,0.2,1.5
nick richards,-0.5267,3.445,1.3,0.3,1.6
nick richards,-0.5267,3.445,0.6,0.2,1.4
nick richards,-0.5267,3.778,0.9,0.2,1.5
nick richards,-0.5267,3.778,1.3,0.3,1.6
nick richards,-0.5267,3.778,0.6,0.2,1.4
nickeil alexander-walker,0.7579,3.359,2.5,0.6,1.2
nicolas batum,0.6542,1.841,1.1,0.7,0.4
norman powell,0.7269,6.463,2.2,1.3,1.9
og anunoby,-0.1779,5.747,2.1,1.5,1.3
obi toppin,-0.7708,3.521,1.6,0.6,0.8
ochai agbaji,0.9042,3.618,1.6,0.8,0.8
olivier-maxence prosper,0.9263,1.562,0.8,0.5,0.3
onyeka okongwu,-0.3037,4.875,2.3,0.9,1.1
orlando robinson,0.296,2.569,1.7,0.4,1.1
orlando robinson,0.296,2.569,1.9,0.4,1.2
orlando robinson,0.296,3.059,1.7,0.4,1.1
orlando robinson,0.296,3.059,1.9,0.4,1.2
oshae brissett,0.675,3.072,0.7,0.7,1.3
ousmane dieng,-0.6746,1.518,0.8,0.5,0.5
paolo banchero,-0.1255,7.788,4.7,0.8,2.9
pascal siakam,-0.7184,6.519,3.4,0.9,1.4
pat connaughton,0.7924,1.783,1.7,0.2,0.6
patrick williams,0.8905,3.322,2.0,0.7,1.3
paul george,0.8957,5.503,4.3,1.8,2.6
payton pritchard,-0.4118,4.657,3.3,0.9,1.0
peyton watson,0.6689,3.15,1.5,0.8,0.8
precious achiuwa,0.5414,2.702,0.9,0.8,0.8
rj barrett,-0.3937,6.796,5.6,0.8,3.0
reggie jackson,0.9376,1.67,1.5,0.5,0.5
richaun holmes,0.4019,2.982,1.4,0.3,0.7
robert williams,0.0516,2.67,1.1,0.7,0.9
rudy gobert,0.8879,4.766,1.8,0.8,1.3
rui hachimura,-0.296,4.487,1.4,0.8,0.8
russell westbrook,0.9538,4.796,6.2,1.4,3.3
ryan rollins,0.0,2.022,1.6,0.7,0.8
sam hauser,-0.5814,2.898,0.9,0.6,0.3
sam merrill,-0.3403,2.548,1.5,0.7,0.5
scoot henderson,0.5859,4.295,5.1,1.0,2.7
scottie barnes,0.0,6.616,5.9,1.5,2.9
seth curry,0.3192,2.088,0.9,0.4,0.5
shaedon sharpe,0.5267,5.489,2.6,0.8,2.0
shai gilgeous-alexander,0.9201,9.362,6.4,1.7,2.5
shake milton,0.197,2.076,1.9,0.4,0.7
shake milton,0.197,2.076,2.4,0.6,0.7
shake milton,0.197,2.076,1.3,0.3,0.7
shake milton,0.197,2.621,1.9,0.4,0.7
shake milton,0.197,2.621,2.4,0.6,0.7
shake milton,0.197,2.621,1.3,0.3,0.7
shake milton,0.197,1.508,1.9,0.4,0.7
shake milton,0.197,1.508,2.4,0.6,0.7
shake milton,0.197,1.508,1.3,0.3,0.7
spencer dinwiddie,0.8047,3.925,4.3,0.9,1.2
stephen curry,0.9753,7.157,6.0,1.1,2.9
steven adams,0.9747,1.929,1.2,0.4,1.0
taj gibson,0.7501,1.407,0.5,0.3,0.7
talen horton-tucker,0.7003,1.893,1.3,0.4,0.7
tari eason,0.3612,4.375,1.4,1.8,1.2
taurean prince,0.9573,3.176,2.0,0.9,1.0
taylor hendricks,0.9731,2.487,0.7,1.7,0.7
terance mann,0.9442,2.79,1.8,0.6,0.7
terance mann,0.9442,2.79,1.6,0.8,0.7
terance mann,0.9442,2.79,2.2,0.5,0.8
terance mann,0.9442,2.423,1.8,0.6,0.7
terance mann,0.9442,2.423,1.6,0.8,0.7
terance mann,0.9442,2.423,2.2,0.5,0.8
terance mann,0.9442,3.41,1.8,0.6,0.7
terance mann,0.9442,3.41,1.6,0.8,0.7
terance mann,0.9442,3.41,2.2,0.5,0.8
terry rozier,-0.1027,3.864,2.7,0.6,1.2
thomas bryant,0.8573,2.455,0.9,0.4,0.5
thomas bryant,0.8573,2.455,0.4,0.1,0.2
thomas bryant,0.8573,2.455,1.0,0.5,0.5
thomas bryant,0.8573,1.677,0.9,0.4,0.5
thomas bryant,0.8573,1.677,0.4,0.1,0.2
thomas bryant,0.8573,1.677,1.0,0.5,0.5
thomas bryant,0.8573,2.609,0.9,0.4,0.5
thomas bryant,0.8573,2.609,0.4,0.1,0.2
thomas bryant,0.8573,2.609,1.0,0.5,0.5
tim hardaway jr.,0.9393,3.589,1.6,0.5,0.6
tobias harris,0.6724,4.902,2.2,1.0,1.1
torrey craig,0.8442,1.687,0.4,0.2,0.1
torrey craig,0.8442,1.687,0.6,0.2,0.0
torrey craig,0.8442,2.267,0.4,0.2,0.1
torrey craig,0.8442,2.267,0.6,0.2,0.0
toumani camara,-0.4144,4.292,2.2,1.5,1.4
trae young,0.936,7.569,11.5,1.2,4.8
trayce jackson-davis,0.9438,2.758,1.8,0.4,0.7
tre jones,0.714,2.908,4.2,0.8,0.8
tre jones,0.714,2.908,3.7,0.6,0.8
tre jones,0.714,2.908,4.9,1.1,0.8
tre jones,0.714,2.062,4.2,0.8,0.8
tre jones,0.714,2.062,3.7,0.6,0.8
tre jones,0.714,2.062,4.9,1.1,0.8
tre jones,0.714,4.206,4.2,0.8,0.8
tre jones,0.714,4.206,3.7,0.6,0.8
tre jones,0.714,4.206,4.9,1.1,0.8
trevelin queen,0.0,1.694,1.2,1.0,0.8
trey lyles,-0.2933,2.543,1.2,0.6,0.5
ty jerome,0.4404,3.872,3.3,1.1,1.3
tyler herro,0.5346,7.268,5.6,0.9,2.6
tyrese haliburton,0.9323,6.403,9.1,1.5,1.7
tyrese martin,0.802,3.132,2.0,0.6,1.1
tyrese maxey,0.5578,7.829,6.1,1.8,2.4
tyus jones,0.8555,3.904,5.5,0.8,1.2
victor wembanyama,0.9062,7.941,3.7,1.1,3.2
vit krejci,0.8898,2.678,2.6,0.6,0.9
walker kessler,0.8945,4.893,1.7,0.6,1.5
zach collins,-0.8201,2.473,1.7,0.5,0.9
zach collins,-0.8201,2.473,1.4,0.4,0.6
zach collins,-0.8201,2.473,2.1,0.6,1.3
zach collins,-0.8201,1.819,1.7,0.5,0.9
zach collins,-0.8201,1.819,1.4,0.4,0.6
zach collins,-0.8201,1.819,2.1,0.6,1.3
zach collins,-0.8201,3.559,1.7,0.5,0.9
zach collins,-0.8201,3.559,1.4,0.4,0.6
zach collins,-0.8201,3.559,2.1,0.6,1.3
zach lavine,-0.1753,6.838,4.2,0.8,2.9
zach lavine,-0.1753,6.838,4.5,0.9,2.9
zach lavine,-0.1753,6.838,3.7,0.7,3.0
zach lavine,-0.1753,7.128,4.2,0.8,2.9
zach lavine,-0.1753,7.128,4.5,0.9,2.9
zach lavine,-0.1753,7.128,3.7,0.7,3.0
zach lavine,-0.1753,6.324,4.2,0.8,2.9
zach lavine,-0.1753,6.324,4.5,0.9,2.9
zach lavine,-0.1753,6.324,3.7,0.7,3.0
zeke nnaji,0.0387,1.345,0.4,0.4,0.2
zion williamson,-0.5935,7.487,5.3,1.2,3.0
